L,N,K,Ratio,Success Rate
3,100,3,0.09145077720207254,0.0
3,100,3,0.06073018699910953,0.0
3,100,3,0.043329532497149374,0.0
3,100,3,0.047453083109919574,0.0
3,100,3,0.026441467676179383,0.0
3,100,3,0.06880108991825613,0.0
3,100,3,0.03980268753189318,0.0
3,100,3,0.014492753623188406,0.0
3,100,3,0.0940381069452981,0.0
3,100,3,0.033890436397400185,0.0
3,100,3,0.09383236689509752,0.0
3,100,3,0.027412745513635723,0.0
3,100,3,0.08910188143414981,0.0
3,100,3,0.06942148760330578,0.0
3,100,3,0.03540025122758936,0.0
3,100,3,0.14779220779220778,0.0
3,100,3,0.03168704156479218,0.0
3,100,3,0.07279776006892096,0.0
3,100,3,0.1448013064779532,0.0
3,100,3,0.024119798811156837,0.0
3,100,3,0.036208824288294486,0.0
3,100,3,0.008480587165016807,0.0
3,100,3,0.030886341762183918,0.0
3,100,3,0.027760704773611963,0.0
3,100,3,0.01960634142605499,0.0
3,100,3,0.06926406926406926,0.0
3,100,3,0.018084582365772994,0.0
3,100,3,0.02390438247011952,0.0
3,100,3,0.033129175946547886,0.0
3,100,3,0.16526396327467482,0.0
3,100,3,0.19281811085089773,0.0
3,100,3,0.018807574206755374,0.0
3,100,3,0.13612565445026178,0.0
3,100,3,0.01885733527893142,0.0
3,100,3,0.10046478369681802,0.0
3,100,3,0.029876977152899824,0.0
3,100,3,0.022061669462004902,0.0
3,100,3,0.022414054217779797,0.0
3,100,3,0.03060159962907152,0.0
3,100,3,0.06031455183997557,0.0
3,100,3,0.04031866316914408,0.0
3,100,3,0.21349963316214232,0.0
3,100,3,0.0420353982300885,0.0
3,100,3,0.030970406056434963,0.0
3,100,3,0.09271687795177729,0.0
3,100,3,0.028446033810143042,0.0
3,100,3,0.062183235867446396,0.0
3,100,3,0.0662397880326783,0.0
3,100,3,0.037953795379537955,0.0
3,100,3,0.14123222748815165,0.0
3,100,3,0.034996861268047706,0.0
3,100,3,0.04838267543859649,0.0
3,100,3,0.05098493626882966,0.0
3,100,3,0.0799492385786802,0.0
3,100,3,0.06796436819531508,0.0
3,100,3,0.06543167912984364,0.0
3,100,3,0.07529027576197388,0.0
3,100,3,0.021634241245136188,0.0
3,100,3,0.13694779116465863,0.0
3,100,3,0.03520966271649954,0.0
3,100,3,0.022346983707617788,0.0
3,100,3,0.019121039213305817,0.0
3,100,3,0.11254355400696864,0.0
3,100,3,0.019568648079957916,0.0
3,100,3,0.05667090216010165,0.0
3,100,3,0.03931416695531694,0.0
3,100,3,0.050308008213552365,0.0
3,100,3,0.0311787072243346,0.0
3,100,3,0.02053155309232901,0.0
3,100,3,0.09426702577914582,0.0
3,100,3,0.07339798440768207,0.0
3,100,3,0.07234539089848308,0.0
3,100,3,0.12704432329936005,0.0
3,100,3,0.054220850782455365,0.0
3,100,3,0.020071801566579634,0.0
3,100,3,0.12293144208037825,0.0
3,100,3,0.047619047619047616,0.0
3,100,3,0.07978330460477714,0.0
3,100,3,0.13073394495412843,0.0
3,100,3,0.03655849358974359,0.0
3,100,3,0.04995734192814485,0.0
3,100,3,0.03367514875300671,0.0
3,100,3,0.06123009335529929,0.0
3,100,3,0.11638641608968019,0.0
3,100,3,0.06539213556376276,0.0
3,100,3,0.02663067926225821,0.0
3,100,3,0.0966796875,0.0
3,100,3,0.030042097206276312,0.0
3,100,3,0.041723244043945194,0.0
3,100,3,0.023914605357692704,0.0
3,100,3,0.1309049516220831,0.0
3,100,3,0.07939508506616257,0.0
3,100,3,0.024155645425729587,0.0
3,100,3,0.0818337617823479,0.0
3,100,3,0.05037895675434686,0.0
3,100,3,0.07453252567816697,0.0
3,100,3,0.04401135776974703,0.0
3,100,3,0.20736589271417133,0.0
3,100,3,0.035741885625965995,0.0
3,100,3,0.07504312823461759,0.0
3,100,3,0.03044942175376958,0.0
3,100,3,0.09262526464361327,0.0
3,100,3,0.13832100913440626,0.0
3,100,3,0.014307458143074582,0.0
3,100,3,0.04281576627628762,0.0
3,100,3,0.14285714285714285,0.0
3,100,3,0.0339936965330932,0.0
3,100,3,0.17613132209405502,0.0
3,100,3,0.03233234193610285,0.0
3,100,3,0.05564142194744977,0.0
3,100,3,0.18553688823959094,0.0
3,100,3,0.03527855357930325,0.0
3,100,3,0.4055600981193786,0.0
3,100,3,0.05135658914728682,0.0
3,100,3,0.039492242595204514,0.0
3,100,3,0.02213037113579609,0.0
3,100,3,0.03311077803515465,0.0
3,100,3,0.03863279203771608,0.0
3,100,3,0.038370918882531135,0.0
3,100,3,0.032222629073599414,0.0
3,100,3,0.024263431542461005,0.0
3,100,3,0.05504739730583735,0.0
3,100,3,0.0257973223032546,0.0
3,100,3,0.11952726295997851,0.0
3,100,3,0.11855061047656558,0.0
3,100,3,0.03804406233207953,0.0
3,100,3,0.03522704133577683,0.0
3,100,3,0.018208345491683688,0.0
3,100,3,0.0427570300718531,0.0
3,100,3,0.10388015717092337,0.0
3,100,3,0.058325778180719254,0.0
3,100,3,0.22572314049586778,0.0
3,100,3,0.1889055472263868,0.0
3,100,3,0.062196307094266275,0.0
3,100,3,0.03123251911243707,0.0
3,100,3,0.013177456413028787,0.0
3,100,3,0.052036640031183,0.0
3,100,3,0.047078336310283235,0.0
3,100,3,0.24732949876746096,0.0
3,100,3,0.0664714494875549,0.0
3,100,3,0.06496102338596842,0.0
3,100,3,0.022091765796384985,0.0
3,100,3,0.03864541832669323,0.0
3,100,3,0.014578543124113302,0.0
3,100,3,0.04574441991660535,0.0
3,100,3,0.04061078622482131,0.0
3,100,3,0.018076900429841607,0.0
3,100,3,0.05138568129330254,0.0
3,100,3,0.021561443066516348,0.0
3,100,3,0.22954545454545455,0.0
3,100,3,0.054567022538552785,0.0
3,100,3,0.05451310255580718,0.0
3,100,3,0.08330234287839346,0.0
3,100,3,0.03389261744966443,0.0
3,100,3,0.11290322580645161,0.0
3,100,3,0.06913890634820867,0.0
3,100,3,0.04087634171445376,0.0
3,100,3,0.011917134344904039,0.0
3,100,3,0.05587711487088157,0.0
3,100,3,0.009384474710043795,0.0
3,100,3,0.018148962916404776,0.0
3,100,3,0.10704355885078777,0.0
3,100,3,0.15364732912119472,0.0
3,100,3,0.034621744522529974,0.0
3,100,3,0.08223972003499562,0.0
3,100,3,0.0202118138424821,0.0
3,100,3,0.03963774773592335,0.0
3,100,3,0.04460166102737619,0.0
3,100,3,0.022058823529411766,0.0
3,100,3,0.022215269086357948,0.0
3,100,3,0.061607992388201714,0.0
3,100,3,0.05090311986863711,0.0
3,100,3,0.07151819322459223,0.0
3,100,3,0.08335065474953232,0.0
3,100,3,0.0696999031945789,0.0
3,100,3,0.040010741138560686,0.0
3,100,3,0.03728581220013708,0.0
3,100,3,0.030861488957144946,0.0
3,100,3,0.03788072690043512,0.0
3,100,3,0.05103256552819698,0.0
3,100,3,0.023549284578696345,0.0
3,100,3,0.021053662358010185,0.0
3,100,3,0.04507174048658765,0.0
3,100,3,0.05408778864156438,0.0
3,100,3,0.029822029822029823,0.0
3,100,3,0.1395431834403997,0.0
3,100,3,0.07537012113055182,0.0
3,100,3,0.05904852976332776,0.0
3,100,3,0.01931781441965729,0.0
3,100,3,0.07812791348126048,0.0
3,100,3,0.0212798766383963,0.0
3,100,3,0.03347394203292965,0.0
3,100,3,0.07138024357239513,0.0
3,100,3,0.0891651865008881,0.0
3,100,3,0.10091743119266056,0.0
3,100,3,0.041476985331310064,0.0
3,100,3,0.03728585824655694,0.0
3,100,3,0.08579802824407141,0.0
3,100,3,0.1773136773136773,0.0
3,100,3,0.02586206896551724,0.0
3,100,3,0.07242712671029149,0.0
3,100,3,0.014185969189848166,0.0
3,100,3,0.07201113984483788,0.0
3,100,3,0.05528901073794837,0.0
3,100,3,0.03019607843137255,0.0
3,100,3,0.034196715760961574,0.0
3,100,3,0.13076597545493018,0.0
3,100,3,0.0736196319018405,0.0
3,100,3,0.014015595535395749,0.0
3,100,3,0.033175853018372704,0.0
3,100,3,0.027296082209377008,0.0
3,100,3,0.026326821497442778,0.0
3,100,3,0.0212798766383963,0.0
3,100,3,0.0626860119047619,0.0
3,100,3,0.11048158640226628,0.0
3,100,3,0.06795052450289651,0.0
3,100,3,0.07314762175478491,0.0
3,100,3,0.06192990878540566,0.0
3,100,3,0.02160232929463699,0.0
3,100,3,0.2920469361147327,0.0
3,100,3,0.020843771921034173,0.0
3,100,3,0.07559880239520958,0.0
3,100,3,0.03193475483934362,0.0
3,100,3,0.09156409486640649,0.0
3,100,3,0.06686478454680535,0.0
3,100,3,0.005170415713309363,0.0
3,100,3,0.0663265306122449,0.0
3,100,3,0.0229466153742323,0.0
3,100,3,0.019993222636394442,0.0
3,100,3,0.011516962220508867,0.0
3,100,3,0.20775193798449612,0.0
3,100,3,0.04512372634643377,0.0
3,100,3,0.23059866962305986,0.0
3,100,3,0.0273224043715847,0.0
3,100,3,0.055942533739660426,0.0
3,100,3,0.09356842316169105,0.0
3,100,3,0.043378621705680145,0.0
3,100,3,0.03645671734408936,0.0
3,100,3,0.09087694483734088,0.0
3,100,3,0.010520898850706157,0.0
3,100,3,0.017902813299232736,0.0
3,100,3,0.059537914691943125,0.0
3,100,3,0.03935110825570189,0.0
3,100,3,0.07969151670951156,0.0
3,100,3,0.029893083133318787,0.0
3,100,3,0.05695900857959962,0.0
3,100,3,0.03490157755130532,0.0
3,100,3,0.019689278572527304,0.0
3,100,3,0.06366221833296871,0.0
3,100,3,0.07689504373177843,0.0
