L,N,K,Rule,Ratio,Success Rate
3,10,3,hebbian,0.478494623655914,0.116
3,10,3,hebbian,0.6578947368421053,0.116
3,10,3,hebbian,0.30612244897959184,0.116
3,10,3,hebbian,0.4106529209621993,0.116
3,10,3,hebbian,0.4785714285714286,0.116
3,10,3,hebbian,0.5797546012269938,0.116
3,10,3,hebbian,0.4859335038363171,0.116
3,10,3,hebbian,0.2716049382716049,0.116
3,10,3,hebbian,0.1356521739130435,0.116
3,10,3,hebbian,0.39814814814814814,0.116
3,10,3,hebbian,0.6100278551532033,0.116
3,10,3,hebbian,0.39348370927318294,0.116
3,10,3,hebbian,0.18518518518518517,0.116
3,10,3,hebbian,0.3431372549019608,0.116
3,10,3,hebbian,0.18521462639109698,0.116
3,10,3,hebbian,0.7215836526181354,0.116
3,10,3,hebbian,0.256857855361596,0.116
3,10,3,hebbian,0.5231143552311436,0.116
3,10,3,hebbian,0.30493827160493825,0.116
3,10,3,hebbian,0.7353951890034365,0.116
3,10,3,hebbian,0.9368421052631579,0.116
3,10,3,hebbian,0.8389261744966443,0.116
3,10,3,hebbian,0.28549141965678626,0.116
3,10,3,hebbian,0.5772357723577236,0.116
3,10,3,hebbian,0.34505494505494505,0.116
3,10,3,hebbian,0.3562874251497006,0.116
3,10,3,hebbian,0.30866141732283464,0.116
3,10,3,hebbian,0.2705479452054795,0.116
3,10,3,hebbian,0.24885321100917432,0.116
3,10,3,hebbian,0.3765432098765432,0.116
3,10,3,hebbian,0.31627906976744186,0.116
3,10,3,hebbian,0.09133709981167608,0.116
3,10,3,hebbian,0.8611111111111112,0.116
3,10,3,hebbian,0.5460750853242321,0.116
3,10,3,hebbian,0.2897196261682243,0.116
3,10,3,hebbian,0.4025974025974026,0.116
3,10,3,hebbian,0.36542669584245074,0.116
3,10,3,hebbian,0.8972602739726028,0.116
3,10,3,hebbian,0.09703504043126684,0.116
3,10,3,hebbian,0.28507992895204265,0.116
3,10,3,hebbian,0.23616600790513834,0.116
3,10,3,hebbian,1.0,0.116
3,10,3,hebbian,0.2804123711340206,0.116
3,10,3,hebbian,0.778125,0.116
3,10,3,hebbian,0.41353383458646614,0.116
3,10,3,hebbian,1.0,0.116
3,10,3,hebbian,0.14501510574018128,0.116
3,10,3,hebbian,0.7872340425531915,0.116
3,10,3,hebbian,0.40273037542662116,0.116
3,10,3,hebbian,0.8851351351351351,0.116
3,10,3,hebbian,0.13003901170351106,0.116
3,10,3,hebbian,0.16129032258064516,0.116
3,10,3,hebbian,0.6098484848484849,0.116
3,10,3,hebbian,1.1919642857142858,0.116
3,10,3,hebbian,0.5418060200668896,0.116
3,10,3,hebbian,0.3968421052631579,0.116
3,10,3,hebbian,0.27411167512690354,0.116
3,10,3,hebbian,0.22145804676753783,0.116
3,10,3,hebbian,0.449438202247191,0.116
3,10,3,hebbian,0.15625,0.116
3,10,3,hebbian,0.17128027681660898,0.116
3,10,3,hebbian,0.9527027027027027,0.116
3,10,3,hebbian,0.3932291666666667,0.116
3,10,3,hebbian,0.16421291053227632,0.116
3,10,3,hebbian,0.24294670846394983,0.116
3,10,3,hebbian,1.0,0.116
3,10,3,hebbian,0.1651705565529623,0.116
3,10,3,hebbian,0.17637669592976857,0.116
3,10,3,hebbian,0.37813211845102507,0.116
3,10,3,hebbian,0.9012345679012346,0.116
3,10,3,hebbian,0.16519174041297935,0.116
3,10,3,hebbian,0.06577540106951872,0.116
3,10,3,hebbian,0.17664376840039253,0.116
3,10,3,hebbian,0.7544642857142857,0.116
3,10,3,hebbian,0.6410256410256411,0.116
3,10,3,hebbian,0.5704697986577181,0.116
3,10,3,hebbian,0.13110307414104883,0.116
3,10,3,hebbian,1.0144927536231885,0.116
3,10,3,hebbian,0.617816091954023,0.116
3,10,3,hebbian,0.21603563474387527,0.116
3,10,3,hebbian,0.1955896452540748,0.116
3,10,3,hebbian,0.5896296296296296,0.116
3,10,3,hebbian,0.7768924302788844,0.116
